"cid","wid","vid","ad2","ad3","SubmissionDate","today","gps.Latitude","gps.Longitude"
8,56,206,4,30,"Jul 25, 2019 8:15:10 AM","Jul 25, 2019",1.58136581070721,37.792958188802
8,56,206,4,30,"Jul 25, 2019 8:15:14 AM","Jul 25, 2019",1.58129196614027,37.7927472162992
8,56,206,4,30,"Jul 25, 2019 8:15:18 AM","Jul 25, 2019",1.58190669491887,37.7926632296294
8,56,206,4,26,"Jul 25, 2019 8:33:08 AM","Jul 25, 2019",1.58191463541161,37.7946727197922
8,56,206,4,26,"Jul 25, 2019 8:33:13 AM","Jul 25, 2019",1.58246956771733,37.7940078734943
8,56,206,4,27,"Jul 25, 2019 8:42:23 AM","Jul 25, 2019",1.58160741906613,37.7928516548127
8,56,206,4,27,"Jul 25, 2019 8:42:27 AM","Jul 25, 2019",1.58125177491456,37.7911364659667
8,56,206,4,31,"Jul 25, 2019 9:27:45 AM","Jul 25, 2019",1.5810977,37.7942818
8,56,206,4,31,"Jul 25, 2019 9:27:49 AM","Jul 25, 2019",1.5816281,37.7943485
8,56,206,4,32,"Jul 25, 2019 10:12:50 AM","Jul 25, 2019",1.57803471151005,37.7948284577344
8,56,206,4,29,"Jul 25, 2019 10:12:54 AM","Jul 25, 2019",1.57776136611626,37.7948042600817
8,56,206,4,29,"Jul 25, 2019 10:12:58 AM","Jul 25, 2019",1.57578645723113,37.7930313887525
1,53,48,3,20,"Jul 25, 2019 1:16:59 PM","Jul 25, 2019",0.0788625609129667,35.8266550675035
1,53,48,3,20,"Jul 25, 2019 1:17:08 PM","Jul 25, 2019",0.0796213326975703,35.8271170780063
1,53,37,3,20,"Jul 25, 2019 1:17:14 PM","Jul 25, 2019",0.0429340777918696,35.8334783557802
1,53,37,3,20,"Jul 25, 2019 1:17:20 PM","Jul 25, 2019",0.0430813478305936,35.8330590929836
8,56,206,4,28,"Jul 25, 2019 1:51:13 PM","Jul 25, 2019",1.57832333333333,37.7946733333333
8,56,206,4,28,"Jul 25, 2019 1:51:21 PM","Jul 25, 2019",1.57812833333333,37.794995
8,56,206,4,28,"Jul 25, 2019 1:51:27 PM","Jul 25, 2019",1.57697166666667,37.794095
6,93,109,5,33,"Jul 25, 2019 3:48:02 PM","Jul 25, 2019",-3.93214244116334,39.4665722540144
6,97,106,5,33,"Jul 25, 2019 3:48:08 PM","Jul 25, 2019",-3.93219740630558,39.4681589232315
6,93,109,5,34,"Jul 25, 2019 3:51:40 PM","Jul 25, 2019",-3.93047510180622,39.4658542983234
6,93,109,5,34,"Jul 25, 2019 3:51:45 PM","Jul 25, 2019",-3.93106732517481,39.4663425441831
6,93,109,5,38,"Jul 25, 2019 3:52:04 PM","Jul 25, 2019",-3.934061,39.4644055
6,93,109,5,38,"Jul 25, 2019 3:52:10 PM","Jul 25, 2019",-3.9303243,39.463188
6,93,109,5,36,"Jul 25, 2019 3:52:45 PM","Jul 25, 2019",-3.9336372,39.463486
6,93,109,5,36,"Jul 25, 2019 3:52:51 PM","Jul 25, 2019",-3.9337732,39.4626418
6,93,109,5,40,"Jul 25, 2019 4:08:37 PM","Jul 25, 2019",-3.93189323600382,39.4664819352329
6,93,109,5,40,"Jul 25, 2019 4:08:43 PM","Jul 25, 2019",-3.9321064716205,39.4657570682466
6,93,109,5,37,"Jul 25, 2019 4:18:51 PM","Jul 25, 2019",-3.9328419,39.462586
6,93,109,5,37,"Jul 25, 2019 4:19:13 PM","Jul 25, 2019",-3.9326372,39.4622179
6,93,109,5,37,"Jul 25, 2019 4:19:20 PM","Jul 25, 2019",-3.9333264,39.4618667
6,93,109,5,39,"Jul 25, 2019 4:22:36 PM","Jul 25, 2019",-3.93269031308591,39.4664005469531
6,93,109,5,39,"Jul 25, 2019 4:22:44 PM","Jul 25, 2019",-3.93297462724149,39.4666981883347
1,53,48,3,21,"Jul 25, 2019 4:32:53 PM","Jul 25, 2019",0.0796864,35.8306672
1,53,48,3,21,"Jul 25, 2019 4:32:58 PM","Jul 25, 2019",0.0821642,35.8311866
1,53,37,3,21,"Jul 25, 2019 4:33:04 PM","Jul 25, 2019",0.041945,35.8339356
1,53,37,3,21,"Jul 25, 2019 4:33:10 PM","Jul 25, 2019",0.0411621,35.8304788
2,141,238,7,53,"Jul 25, 2019 4:53:46 PM","Jul 25, 2019",-0.4664397,39.666986
2,141,238,7,53,"Jul 25, 2019 4:53:53 PM","Jul 25, 2019",-0.466033,39.6667628
2,141,238,7,53,"Jul 25, 2019 4:53:59 PM","Jul 25, 2019",-0.4658238,39.6671894
2,141,238,7,53,"Jul 25, 2019 4:54:10 PM","Jul 25, 2019",-0.4662955,39.6745662
2,141,238,7,53,"Jul 25, 2019 4:54:17 PM","Jul 25, 2019",-0.46633,39.6740833
2,141,238,7,53,"Jul 25, 2019 4:54:26 PM","Jul 25, 2019",-0.4665863,39.6736933
2,141,238,7,53,"Jul 25, 2019 4:54:33 PM","Jul 25, 2019",-0.4673177,39.6731862
12,72,213,6,45,"Jul 25, 2019 4:56:47 PM","Jul 25, 2019",3.87448905859857,34.8120135744412
12,72,213,6,45,"Jul 25, 2019 4:56:52 PM","Jul 25, 2019",3.87417592549572,34.8114284045488
12,72,255,6,45,"Jul 25, 2019 4:56:56 PM","Jul 25, 2019",3.84320951719492,34.821819284113
12,72,255,6,45,"Jul 25, 2019 4:57:05 PM","Jul 25, 2019",3.84707152642353,34.8212453219188
12,72,255,6,48,"Jul 25, 2019 4:57:08 PM","Jul 25, 2019",3.87373871169984,34.8122742958367
12,72,255,6,48,"Jul 25, 2019 4:57:16 PM","Jul 25, 2019",3.8729848433286,34.8122664168477
12,72,213,6,48,"Jul 25, 2019 4:57:25 PM","Jul 25, 2019",3.84368640370667,34.8225101083517
12,72,213,6,48,"Jul 25, 2019 4:57:29 PM","Jul 25, 2019",3.84202050045133,34.8219051025808
12,72,213,6,44,"Jul 25, 2019 5:01:29 PM","Jul 25, 2019",3.87133733835071,34.8100648261607
12,72,213,6,44,"Jul 25, 2019 5:01:34 PM","Jul 25, 2019",3.87688284739852,34.812737647444
12,72,255,6,44,"Jul 25, 2019 5:01:38 PM","Jul 25, 2019",3.84789105970412,34.8248966038227
12,72,255,6,44,"Jul 25, 2019 5:01:44 PM","Jul 25, 2019",3.84826003108174,34.8247539438307
12,72,213,6,42,"Jul 25, 2019 5:08:07 PM","Jul 25, 2019",3.8726629,34.8105691
12,72,213,6,42,"Jul 25, 2019 5:08:14 PM","Jul 25, 2019",3.8779194,34.8127442
12,72,255,6,42,"Jul 25, 2019 5:08:20 PM","Jul 25, 2019",3.8478866,34.8258189
12,72,255,6,42,"Jul 25, 2019 5:08:25 PM","Jul 25, 2019",3.8475319,34.8258016
12,72,213,6,46,"Jul 25, 2019 5:15:13 PM","Jul 25, 2019",3.87531435523219,34.8113995525377
12,72,213,6,46,"Jul 25, 2019 5:15:19 PM","Jul 25, 2019",3.87507114656102,34.8115367348878
12,72,255,6,46,"Jul 25, 2019 5:15:25 PM","Jul 25, 2019",3.84569995675334,34.8243476130731
12,72,255,6,46,"Jul 25, 2019 5:15:31 PM","Jul 25, 2019",3.84066317957541,34.8215870974012
12,72,213,6,47,"Jul 25, 2019 5:16:02 PM","Jul 25, 2019",3.87599880807102,34.8125620465726
12,72,213,6,47,"Jul 25, 2019 5:16:07 PM","Jul 25, 2019",3.87515957001597,34.8126985039562
12,72,255,6,47,"Jul 25, 2019 5:16:12 PM","Jul 25, 2019",3.84275291115046,34.8221097048372
12,72,255,6,47,"Jul 25, 2019 5:16:17 PM","Jul 25, 2019",3.84353909175843,34.8224583081901
1,20,68,2,16,"Jul 25, 2019 5:19:28 PM","Jul 25, 2019",0.595791754312813,35.8580226637423
1,20,68,2,16,"Jul 25, 2019 5:19:34 PM","Jul 25, 2019",0.59615682810545,35.8574635908008
1,28,250,2,16,"Jul 25, 2019 5:19:40 PM","Jul 25, 2019",0.47090349253267,36.0451561957598
1,28,250,2,16,"Jul 25, 2019 5:19:46 PM","Jul 25, 2019",0.470739877782762,36.0452723689377
1,20,68,2,13,"Jul 25, 2019 5:20:48 PM","Jul 25, 2019",0.59613092802465,35.8579613082111
1,20,68,2,13,"Jul 25, 2019 5:20:54 PM","Jul 25, 2019",0.59223853982985,35.8610725030303
1,28,250,2,13,"Jul 25, 2019 5:20:58 PM","Jul 25, 2019",0.470769591629505,36.0453975107521
1,20,68,2,9,"Jul 25, 2019 5:21:02 PM","Jul 25, 2019",0.4698734,35.9811907
1,28,250,2,13,"Jul 25, 2019 5:21:03 PM","Jul 25, 2019",0.470760455355048,36.0454224888235
1,28,250,2,9,"Jul 25, 2019 5:21:13 PM","Jul 25, 2019",0.4692172,35.9808505
1,20,68,2,11,"Jul 25, 2019 5:22:35 PM","Jul 25, 2019",0.596330187577582,35.8553512929917
1,20,68,2,11,"Jul 25, 2019 5:22:40 PM","Jul 25, 2019",0.595838240132533,35.85457858775
1,28,192,2,11,"Jul 25, 2019 5:22:45 PM","Jul 25, 2019",0.470642692466349,36.0452709525536
1,28,192,2,11,"Jul 25, 2019 5:22:50 PM","Jul 25, 2019",0.470679089439272,36.0455658897735
1,20,68,2,10,"Jul 25, 2019 5:24:50 PM","Jul 25, 2019",0.595830999504095,35.8575791407879
1,20,68,2,14,"Jul 25, 2019 5:24:51 PM","Jul 25, 2019",0.59656364377588,35.857012392953
1,20,68,2,10,"Jul 25, 2019 5:24:55 PM","Jul 25, 2019",0.593810065437168,35.8594252921123
1,20,68,2,14,"Jul 25, 2019 5:24:58 PM","Jul 25, 2019",0.595896695740521,35.8577603939921
1,28,250,2,10,"Jul 25, 2019 5:25:01 PM","Jul 25, 2019",0.472179387798427,36.0442727480636
1,28,250,2,14,"Jul 25, 2019 5:25:05 PM","Jul 25, 2019",0.470725251361728,36.0451582912356
1,28,250,2,10,"Jul 25, 2019 5:25:07 PM","Jul 25, 2019",0.467170172075048,36.0432598201201
1,28,250,2,14,"Jul 25, 2019 5:25:10 PM","Jul 25, 2019",0.470588835887611,36.0448521841317
1,53,48,3,18,"Jul 25, 2019 5:25:49 PM","Jul 25, 2019",0.0758157391101122,35.8221509680152
1,53,48,3,22,"Jul 25, 2019 5:25:54 PM","Jul 25, 2019",0.0650499807670712,35.8279814198613
1,53,48,3,18,"Jul 25, 2019 5:26:06 PM","Jul 25, 2019",0.0759205128997564,35.8221256546676
1,53,48,3,24,"Jul 25, 2019 5:26:07 PM","Jul 25, 2019",0.0791866420355501,35.8270998637431
1,53,48,3,22,"Jul 25, 2019 5:26:07 PM","Jul 25, 2019",0.0654910784214735,35.827290834859
1,53,48,3,19,"Jul 25, 2019 5:26:07 PM","Jul 25, 2019",0.0808139037599139,35.8271170767394
1,53,37,3,18,"Jul 25, 2019 5:26:11 PM","Jul 25, 2019",0.0339074386283755,35.8245231304318
1,53,48,3,24,"Jul 25, 2019 5:26:15 PM","Jul 25, 2019",0.0788831434046613,35.8261065148197
1,53,37,3,22,"Jul 25, 2019 5:26:18 PM","Jul 25, 2019",0.0286622112616897,35.8226080331951
1,53,48,3,19,"Jul 25, 2019 5:26:19 PM","Jul 25, 2019",0.0813984126103151,35.8254395938729
1,53,37,3,18,"Jul 25, 2019 5:26:29 PM","Jul 25, 2019",0.0339132221415639,35.8244509622455
1,53,37,3,22,"Jul 25, 2019 5:26:30 PM","Jul 25, 2019",0.0283378316089511,35.8226415608078
1,53,37,3,24,"Jul 25, 2019 5:26:31 PM","Jul 25, 2019",0.0364658683847974,35.8281550656879
1,53,37,3,19,"Jul 25, 2019 5:26:32 PM","Jul 25, 2019",0.0407300935201373,35.8314451849624
1,53,37,3,24,"Jul 25, 2019 5:26:41 PM","Jul 25, 2019",0.0349730511225091,35.8312121291293
1,53,37,3,19,"Jul 25, 2019 5:26:44 PM","Jul 25, 2019",0.0391182538057255,35.8258225403745
1,122,229,2,15,"Jul 25, 2019 5:37:28 PM","Jul 25, 2019",0.596011360175908,35.8576537761837
1,122,261,2,15,"Jul 25, 2019 5:37:32 PM","Jul 25, 2019",0.595767153427005,35.857871202752
1,28,250,2,15,"Jul 25, 2019 5:37:38 PM","Jul 25, 2019",0.470568258315325,36.0452059004456
1,28,250,2,15,"Jul 25, 2019 5:37:45 PM","Jul 25, 2019",0.470590218901634,36.0452147014439
2,141,238,7,51,"Jul 25, 2019 6:13:26 PM","Jul 25, 2019",-0.4665956,39.6675005
2,141,238,7,52,"Jul 25, 2019 6:13:30 PM","Jul 25, 2019",-0.466344038626416,39.6680936982601
2,141,238,7,51,"Jul 25, 2019 6:13:32 PM","Jul 25, 2019",-0.4658833,39.6677557
2,141,238,7,52,"Jul 25, 2019 6:13:36 PM","Jul 25, 2019",-0.46654914055511,39.6686060037751
2,141,238,7,51,"Jul 25, 2019 6:13:39 PM","Jul 25, 2019",-0.4659086,39.6674848
2,141,238,7,52,"Jul 25, 2019 6:13:42 PM","Jul 25, 2019",-0.466140205299776,39.6688575428108
2,141,238,7,51,"Jul 25, 2019 6:13:45 PM","Jul 25, 2019",-0.4663453,39.6688411
2,141,238,7,52,"Jul 25, 2019 6:13:48 PM","Jul 25, 2019",-0.467416449211,39.6773860926827
2,141,238,7,51,"Jul 25, 2019 6:13:51 PM","Jul 25, 2019",-0.4654092,39.6749415
2,141,238,7,52,"Jul 25, 2019 6:13:54 PM","Jul 25, 2019",-0.466619888499531,39.676983753369
2,141,238,7,52,"Jul 25, 2019 6:14:00 PM","Jul 25, 2019",-0.466409351456931,39.6768970957281
2,141,238,7,54,"Jul 25, 2019 6:17:10 PM","Jul 25, 2019",-0.466196522245751,39.667564054343
2,141,238,7,51,"Jul 25, 2019 6:17:11 PM","Jul 25, 2019",-0.4640057,39.6759956
12,72,213,6,41,"Jul 25, 2019 6:17:14 PM","Jul 25, 2019",3.87387024,34.81187215
2,141,238,7,54,"Jul 25, 2019 6:17:17 PM","Jul 25, 2019",-0.468075183448311,39.6671394401369
2,141,238,7,54,"Jul 25, 2019 6:17:27 PM","Jul 25, 2019",-0.466129736165797,39.6656070685994
12,72,255,6,41,"Jul 25, 2019 6:17:34 PM","Jul 25, 2019",3.84355835,34.82174119
2,141,238,7,54,"Jul 25, 2019 6:17:35 PM","Jul 25, 2019",-0.468609397840733,39.6725460579082
2,141,238,7,51,"Jul 25, 2019 6:17:35 PM","Jul 25, 2019",-0.4641471,39.676564
2,141,238,7,54,"Jul 25, 2019 6:17:41 PM","Jul 25, 2019",-0.466728783409829,39.6728832683018
2,141,238,7,54,"Jul 25, 2019 6:17:48 PM","Jul 25, 2019",-0.467387370279475,39.6744161080444
1,53,48,3,23,"Jul 25, 2019 6:17:49 PM","Jul 25, 2019",0.0659851497039199,35.8278153743595
1,53,48,3,23,"Jul 25, 2019 6:17:57 PM","Jul 25, 2019",0.0656296731904149,35.8278846088797
2,141,238,7,54,"Jul 25, 2019 6:18:00 PM","Jul 25, 2019",-0.467638538793032,39.6753883558703
1,53,37,3,23,"Jul 25, 2019 6:18:01 PM","Jul 25, 2019",0.0338208535686135,35.824547437951
1,53,37,3,23,"Jul 25, 2019 6:18:08 PM","Jul 25, 2019",0.0338117592036724,35.8245906885713
1,53,48,3,17,"Jul 25, 2019 9:26:41 PM","Jul 25, 2019",0.0671704166609098,35.8273311168206
1,53,37,3,17,"Jul 25, 2019 9:28:23 PM","Jul 25, 2019",0.034194193158158,35.8245110413052
11,22,156,9,67,"Jul 26, 2019 3:46:47 AM","Jul 25, 2019",-2.3511776,40.1425347
11,22,156,9,67,"Jul 26, 2019 3:46:56 AM","Jul 25, 2019",-2.3509458,40.1427551
11,22,156,9,67,"Jul 26, 2019 3:47:05 AM","Jul 25, 2019",-2.3511047,40.1428852
11,22,156,9,67,"Jul 26, 2019 3:47:15 AM","Jul 25, 2019",-2.350551,40.1427412
11,21,142,9,69,"Jul 26, 2019 3:56:11 AM","Jul 25, 2019",-2.51330310478806,40.3279581014067
11,22,156,9,66,"Jul 26, 2019 3:56:14 AM","Jul 22, 2019",-2.3523806,40.1408629
11,21,142,9,69,"Jul 26, 2019 3:56:16 AM","Jul 25, 2019",-2.51329677645117,40.3276676684618
11,22,156,9,66,"Jul 26, 2019 3:56:19 AM","Jul 24, 2019",-2.352377,40.1409818
11,21,142,9,69,"Jul 26, 2019 3:56:23 AM","Jul 25, 2019",-2.51317243091762,40.32750422135
11,22,156,9,66,"Jul 26, 2019 3:56:25 AM","Jul 25, 2019",-2.3522905,40.1409389
11,21,142,9,69,"Jul 26, 2019 3:56:30 AM","Jul 25, 2019",-2.51341659575701,40.3278705943376
11,21,142,9,68,"Jul 26, 2019 3:56:31 AM","Jul 25, 2019",-2.51296749338508,40.3281892742962
11,21,142,9,65,"Jul 26, 2019 3:56:37 AM","Jul 25, 2019",-2.51405746609428,40.3273853516117
11,21,142,9,68,"Jul 26, 2019 3:56:39 AM","Jul 25, 2019",-2.5131279649213,40.3282431699336
11,21,142,9,65,"Jul 26, 2019 3:56:43 AM","Jul 25, 2019",-2.51395587974434,40.3270553680002
11,21,142,9,68,"Jul 26, 2019 3:56:48 AM","Jul 25, 2019",-2.51317477785051,40.3271878045052
11,21,142,9,65,"Jul 26, 2019 3:56:49 AM","Jul 25, 2019",-2.51387254919647,40.3277284046514
11,21,142,9,68,"Jul 26, 2019 3:56:55 AM","Jul 25, 2019",-2.51322226133198,40.3272235952318
11,22,156,9,64,"Jul 26, 2019 3:56:55 AM","Jul 25, 2019",-2.35197342932224,40.1423276122659
11,22,156,9,64,"Jul 26, 2019 3:57:06 AM","Jul 25, 2019",-2.35172566026449,40.1421365886927
11,22,156,9,64,"Jul 26, 2019 3:57:14 AM","Jul 25, 2019",-2.35184367746115,40.1423271931708
11,22,156,9,64,"Jul 26, 2019 3:57:23 AM","Jul 25, 2019",-2.35202267300338,40.1422223355621
11,22,156,9,70,"Jul 26, 2019 4:12:28 AM","Jul 25, 2019",-2.35348732676357,40.1429211348295
11,22,156,9,70,"Jul 26, 2019 4:12:35 AM","Jul 25, 2019",-2.35348870977759,40.1429453585297
11,22,156,9,70,"Jul 26, 2019 4:12:41 AM","Jul 25, 2019",-2.35396463423967,40.1438650209457
11,22,156,9,70,"Jul 26, 2019 4:12:46 AM","Jul 25, 2019",-2.35324873588979,40.1438910048455
9,98,221,1,7,"Jul 26, 2019 6:17:57 AM","Jul 25, 2019",0.770609881728888,37.8022679686546
9,144,75,1,7,"Jul 26, 2019 6:18:04 AM","Jul 25, 2019",0.77039547264576,37.8021350316703
9,144,75,1,7,"Jul 26, 2019 6:18:11 AM","Jul 25, 2019",0.770371877588332,37.8021224588156
9,144,61,1,7,"Jul 26, 2019 6:18:18 AM","Jul 25, 2019",0.645382655784488,37.4832960683852
9,144,61,1,7,"Jul 26, 2019 6:18:24 AM","Jul 25, 2019",0.645489231683314,37.4830525740981
9,144,61,1,7,"Jul 26, 2019 6:18:30 AM","Jul 25, 2019",0.645374106243253,37.4830974172801
9,144,75,1,4,"Jul 26, 2019 9:22:10 AM","Jul 25, 2019",0.7138492,37.6662938
9,144,75,1,4,"Jul 26, 2019 9:22:28 AM","Jul 25, 2019",0.7139689,37.6660316
9,144,61,1,4,"Jul 26, 2019 9:22:49 AM","Jul 25, 2019",0.6460822,37.4830558
9,144,61,1,4,"Jul 26, 2019 9:23:06 AM","Jul 25, 2019",0.646043,37.483311
9,144,61,1,4,"Jul 26, 2019 9:23:18 AM","Jul 25, 2019",0.6457848,37.4827574
11,21,142,9,63,"Jul 26, 2019 9:31:21 AM","Jul 25, 2019",-2.5144123,40.3265437
11,21,142,9,63,"Jul 26, 2019 9:31:30 AM","Jul 25, 2019",-2.5145738,40.3263997
11,21,142,9,63,"Jul 26, 2019 9:31:37 AM","Jul 25, 2019",-2.5143684,40.3264226
11,21,142,9,65,"Jul 26, 2019 9:31:48 AM","Jul 25, 2019",-2.5136319,40.3276276
9,144,75,1,3,"Jul 26, 2019 10:07:09 AM","Jul 25, 2019",0.7793234,37.8097159
9,144,75,1,3,"Jul 26, 2019 10:07:15 AM","Jul 25, 2019",0.7793243,37.8097755
9,144,75,1,3,"Jul 26, 2019 10:07:21 AM","Jul 25, 2019",0.7792758,37.8096766
9,144,61,1,3,"Jul 26, 2019 10:07:28 AM","Jul 25, 2019",0.645925,37.4840985
9,144,61,1,3,"Jul 26, 2019 10:08:07 AM","Jul 25, 2019",0.6466665,37.4839956
9,144,75,1,8,"Jul 26, 2019 10:14:30 AM","Jul 25, 2019",0.714648149564324,37.676775611151
9,144,75,1,8,"Jul 26, 2019 10:14:36 AM","Jul 25, 2019",0.714061067182998,37.6664240337645
9,144,75,1,8,"Jul 26, 2019 10:14:42 AM","Jul 25, 2019",0.713179748211229,37.6691109810274
9,144,61,1,8,"Jul 26, 2019 10:14:48 AM","Jul 25, 2019",0.647079907257934,37.481354755281
9,144,61,1,8,"Jul 26, 2019 10:14:54 AM","Jul 25, 2019",0.645286434653387,37.4831397842842
9,144,75,1,5,"Jul 26, 2019 11:05:54 AM","Jul 25, 2019",0.713878269307315,37.6663277484477
9,144,75,1,5,"Jul 26, 2019 11:06:00 AM","Jul 25, 2019",0.719004054553807,37.6628925930709
9,144,61,1,5,"Jul 26, 2019 11:06:06 AM","Jul 25, 2019",0.646057273261249,37.4834070447832
9,144,61,1,5,"Jul 26, 2019 11:06:14 AM","Jul 25, 2019",0.646252823062241,37.4833302665502
9,144,61,1,5,"Jul 26, 2019 11:06:21 AM","Jul 25, 2019",0.646170345135033,37.4833383131772
9,144,75,1,6,"Jul 26, 2019 12:18:05 PM","Jul 25, 2019",0.770805682986975,37.7912709955126
9,144,75,1,6,"Jul 26, 2019 12:18:12 PM","Jul 25, 2019",0.771500752307475,37.7934475243092
9,144,61,1,6,"Jul 26, 2019 12:18:18 PM","Jul 25, 2019",0.645567351020873,37.483591446653
9,144,61,1,6,"Jul 26, 2019 12:18:24 PM","Jul 25, 2019",0.645465468987823,37.4834107328206
7,137,59,8,55,"Jul 26, 2019 1:04:48 PM","Jul 25, 2019",-1.76692712,37.55221638
7,137,59,8,56,"Jul 26, 2019 1:06:16 PM","Jul 25, 2019",-1.76329518493527,37.5549020294458
7,137,59,8,56,"Jul 26, 2019 1:06:23 PM","Jul 25, 2019",-1.76544088597258,37.5529104346488
7,137,59,8,59,"Jul 26, 2019 1:08:26 PM","Jul 25, 2019",-1.76570691615104,37.5526939300826
7,36,196,8,59,"Jul 26, 2019 1:08:39 PM","Jul 25, 2019",-1.75615544614442,37.5501674332988
7,138,265,8,62,"Jul 26, 2019 1:10:24 PM","Jul 25, 2019",-1.7614871,37.5528815
7,138,265,8,62,"Jul 26, 2019 1:10:32 PM","Jul 25, 2019",-1.7622431,37.553762
7,137,59,8,61,"Jul 26, 2019 1:14:09 PM","Jul 25, 2019",-1.7647735029459,37.5526451691985
7,137,59,8,61,"Jul 26, 2019 1:14:20 PM","Jul 25, 2019",-1.76363821607083,37.5502927880734
7,138,265,8,58,"Jul 26, 2019 1:14:36 PM","Jul 25, 2019",-1.7634153,37.5556394
7,138,265,8,58,"Jul 26, 2019 1:14:45 PM","Jul 25, 2019",-1.7635664,37.5554544
7,137,59,8,57,"Jul 26, 2019 1:19:42 PM","Jul 25, 2019",-1.76788038108498,37.5529061816633
7,137,59,8,57,"Jul 26, 2019 1:19:49 PM","Jul 25, 2019",-1.76932085305452,37.5526614300907
1,20,68,2,12,"Jul 26, 2019 4:43:42 PM","Jul 25, 2019",0.581629523076117,35.886876611039
1,20,68,2,12,"Jul 26, 2019 4:43:48 PM","Jul 25, 2019",0.583172170445323,35.8863606210798
1,28,250,2,12,"Jul 26, 2019 4:43:54 PM","Jul 25, 2019",0.468333936296403,36.018588328734
1,28,250,2,12,"Jul 26, 2019 4:44:00 PM","Jul 25, 2019",0.470191868953407,36.0339727252722
12,72,255,6,43,"Jul 26, 2019 5:52:42 PM","Jul 25, 2019",3.87163221370429,34.810488447547
12,72,255,6,43,"Jul 26, 2019 5:52:48 PM","Jul 25, 2019",3.869385025464,34.8109961394221
12,72,255,6,43,"Jul 26, 2019 5:52:53 PM","Jul 25, 2019",3.84767551906407,34.8249310534447
12,72,255,6,43,"Jul 26, 2019 5:52:59 PM","Jul 25, 2019",3.84762246161699,34.8254033736885
7,138,265,8,60,"Jul 28, 2019 8:10:57 AM","Jul 25, 2019",-1.76217454626473,37.5536498434848
7,138,265,8,60,"Jul 28, 2019 8:11:03 AM","Jul 25, 2019",-1.76331832098328,37.554455984423
2,96,1,7,52,"Jul 30, 2019 5:13:20 AM","Jul 25, 2019",0.6456228,37.4828816
